City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
Pangnirtung,66.1451,-65.7125,21.97,62,100,5.46,CA,overcast clouds
Korla,41.7597,86.1469,18.23,59,0,1.41,CN,clear sky
Ushuaia,-54.8,-68.3,53.26,50,0,3.44,AR,clear sky
Axim,4.8699,-2.2405,79.2,84,15,5.57,GH,light rain
Anadyr,64.75,177.4833,27.1,86,100,31.32,RU,overcast clouds
Cap-Aux-Meules,47.3821,-61.8597,37.33,94,100,21.27,CA,overcast clouds
Leningradskiy,69.3833,178.4167,14.52,88,95,10.78,RU,overcast clouds
Avarua,-21.2078,-159.775,80.65,83,100,11.5,CK,overcast clouds
Nikolskoye,59.7035,30.7861,28.8,93,100,11.7,RU,light snow
Tezu,27.9167,96.1667,59.9,54,0,3.71,IN,clear sky
Abu Samrah,35.3029,37.1841,51.44,57,0,2.46,SY,clear sky
Victoria,22.2855,114.1577,55.26,55,24,11.01,HK,few clouds
Mersing,2.4312,103.8405,76.39,89,54,4.83,MY,light rain
Teahupoo,-17.8333,-149.2667,78.76,74,98,6.22,PF,overcast clouds
Santiago Del Estero,-27.7951,-64.2615,80.91,32,0,6.24,AR,clear sky
Point Pleasant,40.0832,-74.0682,36.95,64,0,8.05,US,clear sky
Atuona,-9.8,-139.0333,78.28,77,75,19.51,PF,broken clouds
Mahebourg,-20.4081,57.7,77.29,73,40,11.5,MU,scattered clouds
Kijang,35.2442,129.2139,28.24,49,0,6.89,KR,clear sky
Coos Bay,43.3665,-124.2179,49.14,71,100,4.61,US,overcast clouds
Opuwo,-18.0607,13.84,65.61,43,35,5.66,NA,scattered clouds
Zaraza,9.3503,-65.3245,75.52,81,97,7.4,VE,overcast clouds
Kassala,15.451,36.4,73.99,58,0,8.59,SD,clear sky
Arsk,56.0915,49.8778,31.91,98,100,12.48,RU,light snow
Caravelas,-17.7125,-39.2481,74.55,94,100,6.62,BR,moderate rain
Mitsamiouli,-11.3847,43.2844,80.26,81,42,12.33,KM,scattered clouds
Hami,42.8,93.45,17.13,43,96,3.62,CN,overcast clouds
Kaitangata,-46.2817,169.8464,57.54,68,77,5.39,NZ,broken clouds
Umm Kaddadah,13.6017,26.6876,66.99,33,34,12.01,SD,scattered clouds
Padang,-0.9492,100.3543,73.45,78,79,3.87,ID,broken clouds
Rodney,42.5668,-81.6831,28.49,67,99,16.58,CA,overcast clouds
Arraial Do Cabo,-22.9661,-42.0278,73.78,80,100,12.64,BR,overcast clouds
Albany,42.6001,-73.9662,31.41,75,48,4.0,US,scattered clouds
Busselton,-33.65,115.3333,69.62,56,1,11.45,AU,clear sky
Dikson,73.5069,80.5464,4.6,84,100,4.29,RU,overcast clouds
Lata,40.1629,-8.3327,59.07,80,100,8.81,PT,overcast clouds
Uige,-7.6087,15.0613,65.75,92,93,0.58,AO,overcast clouds
Lulea,65.5842,22.1547,14.07,92,0,2.3,SE,clear sky
Fortuna,40.5982,-124.1573,50.94,74,0,10.36,US,clear sky
Batsfjord,70.6345,29.7185,22.93,86,100,21.85,NO,overcast clouds
Deputatskiy,69.3,139.9,-11.61,99,100,2.66,RU,overcast clouds
Kavaratti,10.5669,72.642,81.68,72,13,8.01,IN,few clouds
Tepu,45.9667,27.3667,28.02,64,58,11.9,RO,broken clouds
Port Hedland,-20.3167,118.5667,78.85,69,75,5.75,AU,broken clouds
Butaritari,3.0707,172.7902,81.68,79,13,16.53,KI,few clouds
Sitka,57.0531,-135.33,21.09,38,40,9.22,US,scattered clouds
College,64.8569,-147.8028,-28.91,75,20,3.44,US,few clouds
Bambous Virieux,-20.3428,57.7575,77.25,73,40,11.5,MU,light rain
Sao Felix Do Xingu,-6.6447,-51.995,73.17,97,100,1.03,BR,overcast clouds
Tarko-Sale,64.9225,77.785,-4.85,100,92,1.34,RU,overcast clouds
Tasiilaq,65.6145,-37.6368,10.56,47,0,5.73,GL,clear sky
Brae,60.3964,-1.353,41.97,86,100,29.21,GB,moderate rain
Yellowknife,62.456,-114.3525,-20.15,100,98,4.99,CA,overcast clouds
Yerbogachen,61.2767,108.0108,-10.98,99,100,3.04,RU,light snow
Pevek,69.7008,170.3133,26.38,61,96,12.57,RU,overcast clouds
Bengkulu,-3.8004,102.2655,74.53,82,58,5.01,ID,broken clouds
Isangel,-19.55,169.2667,84.2,70,11,2.64,VU,few clouds
Cape Town,-33.9258,18.4232,70.38,71,28,13.0,ZA,scattered clouds
Portland,45.5234,-122.6762,45.57,87,100,9.22,US,overcast clouds
Jamestown,42.097,-79.2353,26.55,93,100,16.11,US,mist
Bredasdorp,-34.5322,20.0403,65.71,71,76,5.79,ZA,broken clouds
Kariba,-16.5167,28.8,72.63,84,91,2.86,ZW,light rain
Bathsheba,13.2167,-59.5167,81.21,85,20,19.57,BB,few clouds
Tondon,10.3667,-13.35,71.46,87,3,0.83,GN,clear sky
Mar Del Plata,-38.0023,-57.5575,69.84,81,0,21.99,AR,clear sky
Sola,-13.8833,167.55,81.23,62,12,4.83,VU,few clouds
Faanui,-16.4833,-151.75,80.01,73,99,9.89,PF,light rain
Sao Joao Da Barra,-21.6403,-41.0511,73.49,91,59,10.47,BR,broken clouds
Goianapolis,-16.5106,-49.0239,70.88,97,32,4.59,BR,scattered clouds
Georgetown,5.4112,100.3354,79.23,78,20,5.75,MY,few clouds
Sivas,39.7916,37.0019,34.43,100,75,4.61,TR,fog
Taywarah,33.35,64.4167,28.98,67,2,0.63,AF,clear sky
Jaciara,-15.9653,-54.9683,77.72,72,51,6.08,BR,heavy intensity rain
Ingham,42.6,-84.3833,25.83,87,100,9.22,US,overcast clouds
Upernavik,72.7868,-56.1549,25.57,63,100,7.52,GL,overcast clouds
Healdsburg,38.6105,-122.8692,59.94,54,0,5.75,US,clear sky
Atikokan,48.7555,-91.6216,7.61,92,100,6.31,CA,overcast clouds
Clyde River,70.4692,-68.5914,14.05,77,74,6.33,CA,broken clouds
Gorontalo,0.5412,123.0595,75.24,90,99,2.84,ID,overcast clouds
Kainantu,-6.2887,145.8655,67.86,82,82,3.15,PG,broken clouds
Turiacu,-1.6633,-45.3717,76.03,88,63,4.85,BR,broken clouds
San Luis,-33.295,-66.3356,79.72,31,20,9.48,AR,few clouds
Christchurch,-43.5333,172.6333,61.41,82,75,9.22,NZ,broken clouds
Puerto Ayora,-0.7393,-90.3518,74.55,88,41,1.01,EC,scattered clouds
Hagere Hiywet,8.9833,37.85,52.43,71,94,4.5,ET,overcast clouds
Barcelona,41.3888,2.159,55.8,85,20,2.3,ES,few clouds
Fort Nelson,58.8053,-122.7002,-14.06,71,79,0.74,CA,broken clouds
Inuvik,68.3499,-133.7218,-17.64,76,100,0.0,CA,light snow
Pokhara,28.2333,83.9833,55.27,51,8,5.68,NP,clear sky
Den Helder,52.9599,4.7593,33.98,93,75,21.0,NL,mist
Castro,-24.7911,-50.0119,61.12,89,100,9.69,BR,overcast clouds
Cherskiy,68.75,161.3,17.47,80,100,5.17,RU,overcast clouds
Luderitz,-26.6481,15.1594,65.44,83,0,14.76,NA,clear sky
Matara,5.9485,80.5353,74.37,93,100,2.08,LK,overcast clouds
Chokurdakh,70.6333,147.9167,-3.17,98,100,4.7,RU,overcast clouds
Nova Russas,-4.7067,-40.5631,88.63,36,71,9.42,BR,broken clouds
Balikpapan,-1.2675,116.8289,76.19,94,20,4.61,ID,few clouds
Urucui,-7.2294,-44.5561,82.09,62,93,1.19,BR,overcast clouds
Meadow Lake,34.8014,-106.5436,41.22,29,100,4.9,US,overcast clouds
Barcarena,-1.5058,-48.6258,78.85,85,34,8.19,BR,moderate rain
Laguna,38.421,-121.4238,53.02,96,100,5.75,US,mist
Khatanga,71.9667,102.5,-39.14,100,47,4.81,RU,scattered clouds
Sinnamary,5.3833,-52.95,77.2,83,94,11.16,GF,overcast clouds
Karratha,-20.7377,116.8463,77.59,71,13,8.52,AU,few clouds
San Patricio,28.017,-97.5169,60.84,57,100,14.32,US,overcast clouds
Torbay,47.6666,-52.7314,38.57,95,100,15.01,CA,light rain
Ponta Delgada,37.7333,-25.6667,63.5,88,40,24.16,PT,moderate rain
Qaqortoq,60.7167,-46.0333,7.88,62,11,7.7,GL,few clouds
Pontes E Lacerda,-15.2261,-59.3353,71.71,99,89,3.94,BR,heavy intensity rain
Talnakh,69.4865,88.3972,-15.12,99,100,1.43,RU,overcast clouds
Kahului,20.8947,-156.47,71.83,91,100,11.5,US,heavy intensity rain
Barrow,71.2906,-156.7887,6.82,85,0,9.22,US,clear sky
Vaini,-21.2,-175.2,86.16,74,20,9.22,TO,few clouds
Piacabucu,-10.4056,-36.4344,77.32,79,70,10.0,BR,broken clouds
Saint-Philippe,-21.3585,55.7679,76.59,82,85,12.37,RE,overcast clouds
Sheopur,25.6667,76.7,56.44,38,12,2.51,IN,few clouds
Verkhnevilyuysk,63.4453,120.3167,-34.89,99,99,6.64,RU,overcast clouds
Seddon,-37.8068,144.8916,68.61,63,0,4.61,AU,clear sky
Ketchikan,55.3422,-131.6461,21.18,32,0,0.0,US,clear sky
Margate,51.3813,1.3862,46.31,96,100,11.01,GB,moderate rain
Bethel,41.3712,-73.414,36.48,62,75,8.05,US,broken clouds
Katima Mulilo,-17.5,24.2667,69.98,87,100,4.16,NA,overcast clouds
Hermanus,-34.4187,19.2345,66.79,78,99,10.58,ZA,overcast clouds
Ranot,7.7777,100.3213,78.39,80,100,22.39,TH,overcast clouds
Aykhal,66.0,111.5,-27.67,100,79,2.42,RU,broken clouds
Tiksi,71.6872,128.8694,-18.04,98,100,8.61,RU,light snow
Carnarvon,-24.8667,113.6333,78.67,47,4,3.67,AU,clear sky
Praia Da Vitoria,38.7333,-27.0667,60.76,92,72,19.48,PT,light rain
Nabire,-3.3667,135.4833,77.63,87,100,2.04,ID,overcast clouds
Dingle,10.9995,122.6711,75.4,92,100,9.66,PH,overcast clouds
Narsaq,60.9167,-46.05,14.22,61,12,8.28,GL,few clouds
Kiruna,67.8557,20.2251,-6.68,77,20,2.3,SE,few clouds
Lavrentiya,65.5833,-171.0,11.77,78,21,7.52,RU,few clouds
Port Blair,11.6667,92.75,80.64,69,40,11.5,IN,haze
Ati,13.2154,18.3353,69.46,23,18,10.98,TD,few clouds
Gazli,40.1333,63.45,34.99,60,21,9.01,UZ,few clouds
Poum,-20.2333,164.0167,80.28,74,49,3.94,NC,scattered clouds
Hasaki,35.7333,140.8333,35.22,33,1,8.39,JP,clear sky
Sile,41.1754,29.6133,49.57,77,100,10.0,TR,overcast clouds
Balkanabat,39.5108,54.3671,46.09,52,0,3.96,TM,clear sky
Dzilam Gonzalez,21.2833,-88.9333,77.61,73,41,7.11,MX,light rain
Honningsvag,70.9821,25.9704,26.35,80,100,18.41,NO,overcast clouds
Kodiak,57.79,-152.4072,33.31,93,75,5.75,US,broken clouds
Morro Bay,35.3658,-120.8499,64.26,59,0,5.01,US,clear sky
Lashio,22.9333,97.75,54.82,99,63,1.72,MM,broken clouds
Lerwick,60.1545,-1.1494,44.6,85,100,33.82,GB,moderate rain
Te Anau,-45.4167,167.7167,58.03,68,97,2.84,NZ,overcast clouds
Necochea,-38.5473,-58.7368,73.15,47,49,17.31,AR,scattered clouds
Vostok,46.4856,135.8833,-12.87,98,100,4.18,RU,overcast clouds
Airai,-8.9266,125.4092,63.21,85,97,1.68,TL,moderate rain
Nawa,27.0167,75.0,51.44,51,68,2.24,IN,broken clouds
Lujan,-34.5703,-59.105,76.95,50,29,1.99,AR,scattered clouds
Broken Hill,-31.95,141.4333,75.88,27,71,20.22,AU,broken clouds
Grand Gaube,-20.0064,57.6608,77.4,73,82,3.0,MU,broken clouds
Husavik,66.0449,-17.3389,21.47,81,100,23.55,IS,light snow
East London,-33.0153,27.9116,67.19,75,72,2.98,ZA,broken clouds
Auki,-8.7676,160.7034,85.21,64,14,1.48,SB,few clouds
Pacifica,37.6138,-122.4869,57.72,69,0,11.5,US,haze
Lebu,-37.6167,-73.65,58.95,77,35,13.2,CL,scattered clouds
Hipona,11.4174,122.8825,75.13,96,100,8.14,PH,overcast clouds
Kankon,15.0167,74.0167,75.0,55,83,6.44,IN,broken clouds
Tabou,4.423,-7.3528,79.11,80,11,6.64,CI,few clouds
Saint-Joseph,-21.3667,55.6167,75.58,81,73,8.68,RE,broken clouds
Kavieng,-2.5744,150.7967,82.08,73,100,1.97,PG,overcast clouds
Kratovo,42.0792,22.1814,30.79,78,8,3.04,MK,clear sky
Tulu Bolo,8.6667,38.2167,51.39,67,69,2.46,ET,broken clouds
North Bend,43.4065,-124.2243,49.06,71,100,6.91,US,overcast clouds
Ostersund,63.1792,14.6357,25.25,80,40,9.22,SE,scattered clouds
Palmer,42.1584,-72.3287,35.15,68,40,5.75,US,scattered clouds
Mahanje,-9.9333,35.3333,68.43,83,100,1.81,TZ,light rain
Bosobolo,4.1833,19.9,75.94,42,30,1.68,CD,scattered clouds
Anloga,5.7947,0.8973,81.0,82,14,7.94,GH,few clouds
Skelleftea,64.7507,20.9528,19.76,100,0,4.61,SE,clear sky
Broome,42.2506,-75.833,30.88,80,100,11.5,US,snow
Namatanai,-3.6667,152.4333,82.89,70,99,1.88,PG,overcast clouds
Mincivan,39.0294,46.7185,49.66,54,0,5.86,AZ,clear sky
Rafai,4.95,23.9167,77.45,38,100,1.39,CF,overcast clouds
Pisco,-13.7,-76.2167,73.45,73,0,19.57,PE,clear sky
Lompoc,34.6391,-120.4579,67.69,63,0,14.97,US,clear sky
Albania,41.0,20.0,52.05,86,0,2.64,AL,clear sky
Banda Aceh,5.5577,95.3222,75.6,87,100,7.36,ID,overcast clouds
Samarai,-10.6167,150.6667,82.56,78,99,11.41,PG,light rain
Presidencia Roque Saenz Pena,-26.7852,-60.4388,77.83,40,0,3.13,AR,clear sky
Bhag,29.0415,67.8239,62.38,22,0,6.46,PK,clear sky
Boa Vista,2.8197,-60.6733,82.38,65,40,8.05,BR,scattered clouds
Cabra,37.4725,-4.4421,49.42,71,86,4.38,ES,overcast clouds
Asau,46.4333,26.4,24.28,82,97,1.99,RO,overcast clouds
Asosa,10.0667,34.5333,65.53,42,97,2.33,ET,overcast clouds
Salinopolis,-0.6136,-47.3561,78.93,84,37,10.27,BR,scattered clouds
Bom Jesus,-9.0744,-44.3586,77.59,72,94,1.59,BR,overcast clouds
Pau Brasil,-15.4642,-39.6511,72.14,98,100,2.86,BR,moderate rain
Ola,59.5833,151.2833,-1.86,88,13,10.29,RU,few clouds
Turka,49.1541,23.0297,10.49,96,63,3.58,UA,broken clouds
Eureka,40.8021,-124.1637,51.21,76,55,7.0,US,broken clouds
Sinjai,-5.1241,120.253,76.68,83,100,2.73,ID,overcast clouds
Aswan,24.0934,32.907,69.91,54,5,8.5,EG,clear sky
Dunedin,-45.8742,170.5036,56.8,73,100,5.01,NZ,overcast clouds
Yambio,4.5721,28.3955,72.99,62,51,3.47,SS,broken clouds
Yashkul,46.1711,45.3435,45.01,80,100,7.56,RU,overcast clouds
Betsiamites,48.9413,-68.646,32.09,92,100,10.67,CA,overcast clouds
Nalut,30.3333,10.85,60.19,61,98,17.47,LY,overcast clouds
Kloulklubed,7.0419,134.2556,81.1,80,100,16.91,PW,overcast clouds
Norman Wells,65.282,-126.8329,-11.16,77,100,16.11,CA,light snow
Laem Sing,12.4816,102.0738,68.02,69,17,13.56,TH,few clouds
Vanavara,60.34,102.2797,-4.02,98,100,4.79,RU,overcast clouds
Sakakah,29.9697,40.2064,51.37,57,1,4.36,SA,clear sky
Lardos,36.0942,28.0157,64.94,86,4,5.99,GR,clear sky
Tuatapere,-46.1333,167.6833,54.97,75,98,3.94,NZ,overcast clouds
Quatre Cocos,-20.2078,57.7625,77.11,80,74,12.73,MU,light rain
Taltal,-25.4,-70.4833,68.58,74,22,4.32,CL,few clouds
Pedernales,18.0384,-71.744,78.06,70,2,3.22,DO,clear sky
Lancaster,40.2504,-76.2499,33.04,63,83,8.01,US,broken clouds
Butterworth,5.3991,100.3638,79.34,81,20,8.05,MY,few clouds
Geraldton,-28.7667,114.6,84.61,20,0,18.41,AU,clear sky
Amapa,1.0,-52.0,72.93,94,98,3.69,BR,overcast clouds
San Quintin,30.4833,-115.95,61.77,60,14,10.8,MX,few clouds
Aquiraz,-3.9014,-38.3911,81.18,74,91,12.44,BR,overcast clouds
Whitehorse,60.7161,-135.0538,-22.7,66,92,5.01,CA,overcast clouds
Kautokeino,69.0125,23.0412,3.63,98,100,3.29,NO,overcast clouds
Miandrivazo,-19.5167,45.4667,74.73,88,96,3.91,MG,light rain
Baykit,61.67,96.37,-11.99,100,98,0.31,RU,overcast clouds
Eregli,37.5133,34.0467,45.99,67,21,1.23,TR,few clouds
Kimbe,-5.5502,150.1429,80.73,85,100,0.45,PG,light rain
Altay,47.8667,88.1167,3.09,79,100,3.42,CN,overcast clouds
Dalbandin,28.8947,64.4101,48.49,41,0,6.89,PK,clear sky
Umkomaas,-30.2067,30.7978,69.67,85,90,3.15,ZA,overcast clouds
Potosi,-19.5836,-65.7531,56.37,20,2,7.05,BO,clear sky
Pitimbu,-7.4706,-34.8086,79.39,69,33,10.92,BR,scattered clouds
Avera,33.194,-82.5271,45.91,48,0,6.24,US,clear sky
Cloquet,46.7216,-92.4594,8.62,85,40,5.75,US,scattered clouds
Luba,3.4568,8.5547,78.69,77,28,5.44,GQ,scattered clouds
Borovoy,55.4333,86.0833,2.48,85,100,8.95,RU,light snow
Vestmannaeyjar,63.4427,-20.2734,21.83,50,72,10.36,IS,broken clouds
Kyaikkami,16.08,97.5675,69.73,72,94,11.03,MM,overcast clouds
Iguape,-24.7081,-47.5553,73.26,73,95,12.5,BR,overcast clouds
Gorom-Gorom,14.4439,-0.2361,75.02,15,77,9.6,BF,broken clouds
Balabac,7.9868,117.0645,81.59,81,100,17.72,PH,overcast clouds
Iqaluit,63.7506,-68.5145,26.33,93,100,13.8,CA,light snow
Bonthe,7.5264,-12.505,79.93,78,39,6.49,SL,scattered clouds
Valparaiso,-33.0393,-71.6273,66.43,92,0,8.05,CL,clear sky
Belyy Yar,53.6039,91.3903,10.29,67,0,13.42,RU,clear sky
Pacific Grove,36.6177,-121.9166,60.24,69,0,8.99,US,clear sky
Salinas,36.6777,-121.6555,59.99,57,0,8.05,US,clear sky
Westport,41.1415,-73.3579,37.74,60,0,8.01,US,clear sky
Mantua,45.1667,10.7833,40.24,92,43,1.01,IT,scattered clouds
Burns Lake,54.2331,-125.7533,-4.58,64,34,6.4,CA,scattered clouds
Assiniboia,49.6334,-105.9845,-9.58,77,98,4.61,CA,overcast clouds
Tuktoyaktuk,69.4541,-133.0374,-20.2,76,20,12.66,CA,few clouds
Neiafu,-18.65,-173.9833,84.88,84,40,5.75,TO,scattered clouds
Tilichiki,60.4667,166.1,34.0,88,100,28.66,RU,light snow
Port Macquarie,-31.4333,152.9167,70.9,58,48,17.34,AU,scattered clouds
Pinega,64.7001,43.3936,-2.33,100,89,3.76,RU,overcast clouds
Tonneins,44.3921,0.3124,51.67,88,75,14.07,FR,broken clouds
Sibolga,1.7427,98.7792,75.15,89,100,3.6,ID,overcast clouds
Burriana,39.889,-0.085,56.7,87,68,3.51,ES,broken clouds
Bartica,6.4,-58.6167,77.32,98,100,2.37,GY,overcast clouds
Saldanha,-33.0117,17.9442,62.65,85,0,20.09,ZA,clear sky
Sangmelima,2.9333,11.9833,68.25,92,77,2.91,CM,broken clouds
Richards Bay,-28.783,32.0377,69.39,80,80,8.08,ZA,broken clouds
Merke,42.8728,73.1786,25.21,70,10,4.81,KZ,clear sky
Kaeo,-35.1,173.7833,76.32,66,6,5.35,NZ,clear sky
Oga,46.4631,10.347,16.34,38,20,2.86,IT,few clouds
Arshan,46.2732,44.22,43.18,100,100,15.66,RU,overcast clouds
Ballangen,68.3428,16.8315,25.02,68,40,0.0,NO,scattered clouds
Umm Lajj,25.0213,37.2685,77.45,48,0,3.67,SA,clear sky
Hay River,60.8156,-115.7999,-20.22,76,75,4.61,CA,broken clouds
Lahat,-3.8,103.5333,71.58,96,90,1.5,ID,overcast clouds
Bardiyah,31.7561,25.0865,63.77,83,1,7.85,LY,clear sky
Lorengau,-2.0226,147.2712,82.36,77,100,0.83,PG,light rain
Olavarria,-36.8927,-60.3225,78.87,23,65,9.42,AR,broken clouds
Falam,22.9167,93.6833,48.96,95,46,2.1,MM,scattered clouds
Hanstholm,57.1167,8.6167,34.09,64,100,20.6,DK,overcast clouds
Tupelo,34.2576,-88.7034,43.09,48,0,0.0,US,clear sky
Malakal,9.5334,31.6605,80.24,29,77,4.81,SS,broken clouds
Tessalit,20.1986,1.0114,70.45,15,77,9.51,ML,broken clouds
Manbij,36.5281,37.9549,50.16,63,25,2.8,SY,scattered clouds
Khani,41.9563,42.9566,40.57,53,86,5.46,GE,overcast clouds
Socuellamos,39.2858,-2.7921,47.37,69,99,5.79,ES,overcast clouds
Acapulco,16.8634,-99.8901,84.02,58,20,8.05,MX,few clouds
Cockburn Town,21.4612,-71.1419,79.2,76,6,12.64,TC,clear sky
Qaanaaq,77.484,-69.3632,18.88,82,100,8.7,GL,overcast clouds
Dargaville,-35.9333,173.8833,72.91,55,1,4.45,NZ,clear sky
Sangar,63.9242,127.4739,-29.52,97,100,3.78,RU,light snow
Flin Flon,54.7682,-101.865,-14.96,70,75,6.91,CA,broken clouds
Gondanglegi,-7.7479,112.0132,75.29,87,4,4.63,ID,clear sky
Nyurba,63.2842,118.3319,-44.03,100,97,4.47,RU,overcast clouds
Chivolo,10.025,-74.6228,78.53,71,14,8.03,CO,few clouds
Tecoanapa,16.5167,-98.75,81.7,56,37,7.76,MX,scattered clouds
Prachuap Khiri Khan,12.2167,99.75,61.99,71,100,3.33,TH,overcast clouds
Nishihara,26.1842,127.7558,58.28,61,75,12.66,JP,broken clouds
Tarabuco,-19.1667,-64.9167,50.63,77,72,5.46,BO,broken clouds
Yuanping,38.7153,112.7575,17.49,31,0,1.14,CN,clear sky
Nanortalik,60.1432,-45.2371,19.72,75,69,6.11,GL,broken clouds
Faya,18.3851,42.4509,48.31,55,0,3.15,SA,clear sky
Ostrovnoy,68.0531,39.5131,14.14,97,96,11.83,RU,overcast clouds
Farah,32.5,62.5,41.95,59,0,2.59,AF,clear sky
Pangai,-19.8,-174.35,84.31,70,20,10.36,TO,few clouds
Casper,42.8666,-106.3131,27.19,50,0,12.66,US,clear sky
Lagoa,39.05,-27.9833,59.59,87,45,22.75,PT,light rain
Jasper,37.2001,-94.3502,42.85,48,0,3.44,US,clear sky
Nador,35.174,-2.9287,57.45,94,40,1.14,MA,scattered clouds
Gawler,-34.6,138.7333,81.21,32,3,17.85,AU,clear sky
Starosubkhangulovo,53.1031,57.4423,30.16,92,100,9.4,RU,overcast clouds
Spearfish,44.4908,-103.8594,12.11,76,100,4.61,US,overcast clouds
Tura,25.5198,90.2201,58.68,82,44,2.86,IN,scattered clouds
Sorgun,39.8101,35.186,42.71,82,31,0.49,TR,scattered clouds
Kurilsk,45.2333,147.8833,25.72,63,100,32.1,RU,overcast clouds
Tenenkou,14.4572,-4.9169,75.76,13,98,10.49,ML,overcast clouds
Meulaboh,4.1363,96.1285,75.11,90,99,5.48,ID,overcast clouds
Marsa Matruh,31.3525,27.2453,64.85,82,3,10.36,EG,clear sky
Kyzyl-Suu,42.3414,78.0056,21.78,49,0,9.44,KG,clear sky
Koroni,36.8,21.95,61.07,76,83,3.85,GR,broken clouds
Ahipara,-35.1667,173.1667,70.88,57,0,4.54,NZ,clear sky
Goderich,43.7501,-81.7165,34.92,69,100,19.57,CA,overcast clouds
Severo-Kurilsk,50.6789,156.125,30.94,90,98,31.43,RU,snow
Borovskoy,53.8,64.15,26.29,78,100,19.44,KZ,overcast clouds
Nautla,20.2167,-96.7833,70.05,77,71,9.69,MX,broken clouds
Vila Velha,-20.3297,-40.2925,75.15,94,100,3.44,BR,overcast clouds
Byron Bay,-28.65,153.6167,70.95,62,92,16.44,AU,overcast clouds
Bollnas,61.3482,16.3946,25.43,67,57,5.44,SE,broken clouds
Mogadishu,2.0371,45.3438,77.59,76,77,19.28,SO,broken clouds
Buala,-8.145,159.5921,84.38,70,22,3.0,SB,few clouds
Bijawar,24.6333,79.5,53.56,47,8,0.69,IN,clear sky
Windhoek,-22.5594,17.0832,66.11,59,0,2.3,NA,clear sky
Prabumulih,-3.45,104.25,73.04,98,82,1.07,ID,broken clouds
Campeche,19.0,-90.5,73.53,89,78,1.79,MX,light rain
Saint George,37.1041,-113.5841,50.63,30,0,5.01,US,clear sky
Bara,10.3744,10.7288,67.35,23,99,9.31,NG,overcast clouds
San Juan,-31.5375,-68.5364,88.16,21,0,9.71,AR,clear sky
Narasannapeta,18.4167,84.05,64.44,68,83,6.35,IN,broken clouds
Kirakira,-10.4544,161.9205,85.3,67,17,5.55,SB,few clouds
Humboldt,40.6665,-123.9178,42.13,61,49,4.03,US,scattered clouds
Juneau,58.3019,-134.4197,14.0,37,20,8.05,US,few clouds
Kimparana,12.8347,-4.9244,76.48,14,83,8.66,ML,broken clouds
Kiama,-34.6833,150.8667,67.37,60,89,16.42,AU,overcast clouds
Yumen,40.2833,97.2,13.35,59,28,24.94,CN,scattered clouds
